density,conductivity,solvent1,solvent2,solvent3,solvent4,solvent5,solvent6,solvent7,solvent8,additive1,additive2,additive3,additive4,additive5,additive6,additive7,additive8,additive9,additive10,additive11,additive12,additive13,additive14,additive15,additive16,additive17,additive18,additive19,additive20,additive21,additive22,additive23,additive24,additive25,additive26,additive27,LiPF6,additive28,additive29,additive30,additive31,additive32,additive33,additive34,additive35,additive36
1.2056,6,13.77,0,27.55,0,10.33,0,0,13.77,3.45,0,5,0,0,5,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2448,6.25,14.72,0,5.89,0,20.6,0,0,14.72,2.94,0,5,0,0,15,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2412,6.29,12.574,0,25.148,0,9.431,0,0,12.574,3.143,0,3,0,0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2415,6.57,15.72,0,6.287,0,22,0,0,15.72,3.143,0,3,0,0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2454,5.87,11.77,0,23.55,0,8.83,0,0,11.77,2.95,0,5,0,0,15,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.2481,6.18,12.174,0,24.348,0,9.1305,0,0,12.174,3.0435,0,5,0,0,15,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.204,6.36,14.574,0,29.148,0,10.9305,0,0,14.574,3.6435,0,3,0,0,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1.25,0,0,0,0,14.38,0.5,0,0,0,0,0,0,0,0
1.1365,5.12,0,0,22.98,57.52,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,14.5,0,0,1.5,0,0,0,0,0,0
1.2101,7.3,24.186,0,16.124,40.31,0,0,0,0,0,0,1.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14.38,0.5,0,0,0,0,0,0.5,0,0
1.1891,8.15,25.26,0,16.84,42.1,0,0,0,0,0,0,1.5,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0.3,0,0,0,0,0,0,0,0
1.1878,7.88,25.5,0,17,42.5,0,0,0,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,12.5,0.5,0,0,0,0,0,0,0,0
