density,conductivity,E1,E2,E3,E4,P1,P2,P3,P4,P5,L04,L10,L11,L12,L13,L14,L11Mytest,P7,P8,A02,A03,A05,A06,A07,M01,M5,M18,M26,M72,L06,L07,T15My,C15,C16,C52,R01,R04,A,F2,TF,DVB,T16,T16B,T25
1.193,8.7,14.25,0,17.81,0,0,0,21.37,14.25,14.38,0,0,0,0,0,0,0,0.4,4,7,0,0.5,0,0,0,0,0,0,0.5,2,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0
1.189,7,14.51,0,25.38,0,14.51,0,0,14.51,14.38,0,0.1,0,0,0,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,3,0,0,3.63,0.5,0,0,0,0,0,0,0,0,0,0
1.181,7.5,14.5,0,18.13,0,14.5,0,7.25,14.5,14.38,0,0.1,0,0,0,0,0,0,4.5,5,0,0,0,0,0,0,0,0,0,3,0,0,3.63,0.5,0,0,0,0,0,0,0,0,0,0
1.197,9.7,14.19,0,17.73,0,0,14.19,7.09,14.19,14.38,0,0,0.29,0,0,0,0,0.4,4,7,0,0.5,0,0,0,0,0,0,0.5,2,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0
1.244,9.3,22.54,15.03,0,35.31,0,0,0,0,14.38,0,0,0,0,0,0,0,0.5,2,5,0,0.45,0,0.5,0,0,0,0,0,2,0,0,2.25,0,0,0,0,0,0,0,0,0,0,0.03
1.185,10,14.29,0,10.71,0,0,14.28,14.28,14.28,14.38,0.3,0,0,0,0.5,0,0,0.4,4,6,0,0,0,0,0,0,0,0,0,3,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0
1.149,7.6,13.62,0,0,0,34.06,0,10.22,10.22,14.38,0.5,0,0,0,0,0,0,0,3,7,0,0,0,0,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1.14,7.8,14.02,0,0,0,35.06,0,10.52,10.52,14.38,0.5,0,0,0,0,0,0,0,3,6,0,0,0,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0
1.144,9.3,10.97,0,0,0,18.28,0,25.59,14.63,14.38,0,0,0,0,0,0,0,0,3,6,0,0,0,0.5,0,0,0,0,0,2,0,0,3.65,1,0,0,0,0,0,0,0,0,0,0
1.18,10.2,14.39,0,10.79,0,0,14.39,14.39,14.39,14.38,0,0,0.27,0,0,0,0,0.4,4,6,0,0,0,0,0,0,0,0,0,3,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0
1.144,9.3,11,0,0,0,18.33,0,25.66,14.66,14.38,0,0,0,0,0,0,0,0,3,6,0,0,0,0.3,0,0,0,0,0,2,0,0,3.67,1,0,0,0,0,0,0,0,0,0,0
1.224,6.4,6.25,0,43.76,0,0,0,0,12.51,14.38,0,0,0,0,0,0,0,0.1,5,15,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.176,7.6,18.34,0,22.02,0,14.68,0,7.34,7.34,14.38,0,0,0,0,0,0,0,0.2,4.5,4,0,0,0,0,0,0,0,0,0,3,0,0,3.67,0.5,0,0,0,0,0,0,0,0,0,0.03
1.179,10.2,7.1,0,10.65,0,0,14.19,14.19,21.29,14.38,0,0,0.28,0,0,0,0,0.4,4,7,0,0.5,0,0,0,0,0,0,0.46,2,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0
1.142,8.8,11,0,0,0,25.66,0,18.33,14.66,14.38,0,0,0,0,0,0,0,0,3,6,0,0,0,0.3,0,0,0,0,0,2,0,0,3.67,1,0,0,0,0,0,0,0,0,0,0
1.134,8.9,11,0,0,0,29.34,0,18.3,14.67,14.39,0,0,0,0,0,0,0,0,3,6,0,0,0,0.3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.244,8.6,24.99,0,0,50.48,0,0,0,5,14.5,0,0,0,0,0,0.5,0,0.5,1.5,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
